id,sport_id,time,time_status,league,home,away,ss,scores
"""10681626""","""92""","""1758096000""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""221887"",""name"":""Adrian Wiecek"",""image_id"":0,""cc"":""cz""}","{""id"":""1013499"",""name"":""Maciej Nowalinski"",""image_id"":0,""cc"":null}","""3-1""","{""1"":{""home"":""13"",""away"":""11""},""2"":{""home"":""9"",""away"":""11""},""3"":{""home"":""11"",""away"":""6""},""4"":{""home"":""11"",""away"":""9""}}"
"""10686942""","""92""","""1758095700""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""782760"",""name"":""Oskar Jadach"",""image_id"":0,""cc"":null}","{""id"":""932291"",""name"":""Kacper Adamus"",""image_id"":0,""cc"":null}","""3-0""","{""1"":{""home"":""11"",""away"":""7""},""2"":{""home"":""11"",""away"":""6""},""3"":{""home"":""11"",""away"":""8""}}"
"""10681623""","""92""","""1758095700""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""314197"",""name"":""Lukasz Jarocki"",""image_id"":0,""cc"":null}","{""id"":""770866"",""name"":""Jakub Kwapis"",""image_id"":0,""cc"":null}","""1-3""","{""1"":{""home"":""11"",""away"":""6""},""2"":{""home"":""7"",""away"":""11""},""3"":{""home"":""5"",""away"":""11""},""4"":{""home"":""4"",""away"":""11""}}"
"""10683776""","""92""","""1758095100""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""688986"",""name"":""Szymon Radlo"",""image_id"":0,""cc"":null}","{""id"":""728442"",""name"":""Jakub Zochniak"",""image_id"":0,""cc"":null}","""0-3""","{""1"":{""home"":""9"",""away"":""11""},""2"":{""home"":""8"",""away"":""11""},""3"":{""home"":""9"",""away"":""11""}}"
"""10681704""","""92""","""1758094800""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""184748"",""name"":""Kacper Petas"",""image_id"":0,""cc"":null}","{""id"":""252266"",""name"":""Mateusz Golebiowski"",""image_id"":0,""cc"":""in""}","""0-3""","{""1"":{""home"":""5"",""away"":""11""},""2"":{""home"":""7"",""away"":""11""},""3"":{""home"":""5"",""away"":""11""}}"
"""10686868""","""92""","""1758094500""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""1140286"",""name"":""Pawel Slosarczyk"",""image_id"":0,""cc"":null}","{""id"":""1144007"",""name"":""Marian Lebek"",""image_id"":0,""cc"":null}","""1-3""","{""1"":{""home"":""1"",""away"":""11""},""2"":{""home"":""11"",""away"":""8""},""3"":{""home"":""7"",""away"":""11""},""4"":{""home"":""8"",""away"":""11""}}"
"""10681669""","""92""","""1758094500""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""312168"",""name"":""Marcin Balcerzak"",""image_id"":0,""cc"":null}","{""id"":""743302"",""name"":""Karol Wisniewski"",""image_id"":0,""cc"":null}","""3-1""","{""1"":{""home"":""11"",""away"":""7""},""2"":{""home"":""9"",""away"":""11""},""3"":{""home"":""11"",""away"":""7""},""4"":{""home"":""11"",""away"":""8""}}"
"""10686844""","""92""","""1758094200""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""929675"",""name"":""Boguslaw Madej"",""image_id"":0,""cc"":null}","{""id"":""801857"",""name"":""Kacper Slawinski"",""image_id"":0,""cc"":null}","""0-3""","{""1"":{""home"":""7"",""away"":""11""},""2"":{""home"":""8"",""away"":""11""},""3"":{""home"":""5"",""away"":""11""}}"
"""10683989""","""92""","""1758094200""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""823909"",""name"":""Wojciech Iwasyszyn"",""image_id"":0,""cc"":null}","{""id"":""686511"",""name"":""Mateusz Burkacki"",""image_id"":0,""cc"":null}","""1-3""","{""1"":{""home"":""4"",""away"":""11""},""2"":{""home"":""11"",""away"":""7""},""3"":{""home"":""6"",""away"":""11""},""4"":{""home"":""8"",""away"":""11""}}"
"""10686827""","""92""","""1758093600""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""793778"",""name"":""Wojciech Gronowski"",""image_id"":0,""cc"":null}","{""id"":""312241"",""name"":""Michal Minda"",""image_id"":0,""cc"":null}","""1-3""","{""1"":{""home"":""4"",""away"":""11""},""2"":{""home"":""11"",""away"":""9""},""3"":{""home"":""8"",""away"":""11""},""4"":{""home"":""9"",""away"":""11""}}"
"""10681693""","""92""","""1758093300""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""1013499"",""name"":""Maciej Nowalinski"",""image_id"":0,""cc"":null}","{""id"":""1597"",""name"":""Jakub Kosowski"",""image_id"":0,""cc"":""pl""}","""3-2""","{""1"":{""home"":""13"",""away"":""11""},""2"":{""home"":""5"",""away"":""11""},""3"":{""home"":""11"",""away"":""8""},""4"":{""home"":""4"",""away"":""11""},""5"":{""home"":""11"",""away"":""8""}}"
